Time (s),Raw Pressure (mmHg),Low-Pass Filtered (Amplitude),BPM (at peak time)
5.602,138.09,0.4328,
5.612,138.26,0.4947,
5.623,138.49,0.5554,
5.633,138.57,0.6148,
5.644,139.30,0.6725,
5.655,139.07,0.7282,
5.661,139.81,0.7815,
5.672,139.90,0.8321,
5.682,140.44,0.8799,
5.693,140.91,0.9247,
5.703,141.02,0.9669,
5.713,141.25,1.0067,
5.724,141.48,1.0446,
5.734,141.84,1.0809,
5.745,142.23,1.1159,
5.756,142.68,1.1497,
5.766,143.03,1.1826,
5.777,143.30,1.2147,
5.789,143.88,1.2464,
5.796,143.98,1.2781,
5.806,144.42,1.3100,
5.814,144.59,1.3425,
5.823,144.54,1.3758,
5.831,144.84,1.4095,
5.841,145.11,1.4433,
5.851,145.36,1.4761,
5.861,145.68,1.5071,
5.871,145.57,1.5350,
5.881,146.28,1.5588,
5.891,146.64,1.5774,
5.901,147.05,1.5902,
5.911,147.40,1.5968,
5.921,147.44,1.5974,166.7
5.931,147.84,1.5923,
5.941,148.21,1.5822,
5.951,148.36,1.5677,
5.960,148.59,1.5495,
5.970,149.15,1.5283,
5.983,149.11,1.5048,
5.993,149.56,1.4797,
6.008,149.95,1.4534,
6.021,150.25,1.4264,
6.033,150.88,1.3991,
6.047,151.45,1.3723,
6.059,151.76,1.3466,
6.073,151.95,1.3230,
6.085,152.67,1.3025,
6.098,153.01,1.2859,
6.108,152.86,1.2742,
6.120,153.64,1.2678,
6.130,153.90,1.2669,
6.141,154.01,1.2714,
6.151,154.65,1.2808,
6.160,154.94,1.2944,
6.170,154.99,1.3112,
6.181,155.40,1.3302,
6.190,155.45,1.3500,
6.201,156.17,1.3693,
6.229,157.14,1.3864,
6.254,157.42,1.4003,
6.274,158.20,1.4104,
6.291,158.82,1.4168,
6.303,159.24,1.4202,
6.313,159.27,1.4215,
6.322,159.59,1.4220,
6.331,159.80,1.4224,
6.340,160.09,1.4233,
6.351,160.28,1.4244,
6.361,160.71,1.4252,38.7
6.371,161.18,1.4247,
6.381,161.71,1.4215,
6.391,161.54,1.4146,
6.400,162.17,1.4028,
6.411,162.11,1.3851,
6.421,162.36,1.3605,
6.458,163.53,1.3280,
6.480,164.69,1.2870,
6.495,164.79,1.2376,
6.507,164.82,1.1809,
6.520,165.63,1.1187,
6.533,165.82,1.0528,
6.546,166.18,0.9850,
6.560,166.97,0.9171,
6.574,167.36,0.8506,
6.588,167.32,0.7868,
6.597,168.39,0.7267,
6.607,168.37,0.6710,
6.611,168.36,0.6203,
6.621,168.83,0.5743,
6.631,168.63,0.5325,
6.641,169.34,0.4935,
6.650,169.58,0.4558,
6.661,169.70,0.4176,
6.672,170.34,0.3768,
6.681,170.53,0.3319,
6.691,170.55,0.2814,
6.701,171.07,0.2243,
6.714,171.45,0.1596,
6.724,171.46,0.0869,
6.733,171.85,0.0061,
6.742,172.23,-0.0826,
6.751,172.52,-0.1788,
6.761,172.80,-0.2816,
6.770,173.34,-0.3899,
6.781,173.34,-0.5025,
6.790,173.24,-0.6178,
6.801,173.76,-0.7344,
6.811,174.11,-0.8511,
6.821,174.57,-0.9667,
6.831,175.13,-1.0801,
6.841,175.28,-1.1900,
6.850,175.38,-1.2950,
6.861,175.86,-1.3938,
6.871,176.02,-1.4852,
6.881,176.56,-1.5684,
6.891,176.65,-1.6426,
6.900,176.99,-1.7072,
6.911,177.42,-1.7622,
6.921,177.67,-1.8073,
6.931,178.05,-1.8428,
6.941,178.18,-1.8689,
6.950,178.29,-1.8860,
6.960,178.64,-1.8948,
